iter	BalancedAccuracy	CrossEntropy
0	0.7626262626	0.6661673866
1	0.7626262626	0.6429498093
2	0.7694512695	0.6212076874
3	0.7695877696	0.6057654202
4	0.7695877696	0.5902725594
5	0.7695877696	0.5753869433
6	0.7698607699	0.563518215
7	0.7698607699	0.5534230131
8	0.7698607699	0.5430679261
9	0.7698607699	0.5339537652
10	0.7698607699	0.5268803154
11	0.7806442806	0.5194113477
12	0.7806442806	0.5138444306
13	0.7806442806	0.5088755322
14	0.7806442806	0.5037134333
15	0.7811902812	0.4991947305
16	0.7811902812	0.4949823359
17	0.7942942943	0.4905682851
18	0.7942942943	0.486219515
19	0.7987987988	0.4825099403
20	0.791973792	0.478603153
21	0.7917007917	0.4751389159
22	0.7917007917	0.4724263424
23	0.7917007917	0.4697058142
24	0.7917007917	0.4673824696
25	0.7925197925	0.4630235396
26	0.8018018018	0.4589288952
27	0.8027573028	0.4563054684
28	0.8053508054	0.452312573
29	0.8053508054	0.4495748452
30	0.8053508054	0.4474556681
31	0.8076713077	0.4446620398
32	0.806033306	0.4424419825
33	0.8075348075	0.4401920136
34	0.8080808081	0.4384238201
35	0.8080808081	0.436171795
36	0.8108108108	0.4344063306
37	0.8116298116	0.432507512
38	0.8168168168	0.430782821
39	0.8181818182	0.4283709434
40	0.8187278187	0.42634345
41	0.8187278187	0.4253996682
42	0.8196833197	0.422880258
43	0.8215943216	0.420690711
44	0.8222768223	0.4190362406
45	0.8232323232	0.4165214517
46	0.822959323	0.415406643
47	0.8230958231	0.4126020126
48	0.8224133224	0.4116257418
49	0.8233688234	0.4089726135
