iter	Passed	Remaining
0	59	2903
1	63	1513
2	72	1141
3	75	867
4	79	711
5	82	602
6	84	520
7	87	461
8	90	410
9	92	369
10	94	334
11	96	306
12	99	283
13	101	260
14	103	241
15	104	223
16	107	208
17	110	195
18	112	182
19	113	170
20	116	160
21	118	150
22	119	140
23	121	131
24	123	123
25	125	115
26	129	110
27	133	104
28	137	99
29	141	94
30	144	88
31	147	83
32	150	77
33	153	72
34	157	67
35	160	62
36	163	57
37	167	52
38	173	48
39	175	43
40	178	39
41	180	34
42	182	29
43	184	25
44	186	20
45	188	16
46	191	12
47	193	8
48	195	3
49	196	0
