iter	BalancedAccuracy	CrossEntropy
0	0.7738095238	0.6893814914
1	0.7747673782	0.685635428
2	0.7768199234	0.6816880384
3	0.7770935961	0.6780858166
4	0.7770935961	0.6733942426
5	0.776272578	0.6699443109
6	0.7754515599	0.6665617903
7	0.7770935961	0.6629611903
8	0.7770935961	0.6594313699
9	0.7770935961	0.6556335627
10	0.7770935961	0.6522483735
11	0.7772304324	0.6491736221
12	0.7773672687	0.6461721203
13	0.7773672687	0.6421890184
14	0.7776409414	0.6387837757
15	0.7772304324	0.6359637742
16	0.7772304324	0.6329244254
17	0.7780514505	0.6300148552
18	0.7780514505	0.6271155162
19	0.7796934866	0.6239623654
20	0.7792829776	0.6219756652
21	0.7796934866	0.6192956637
22	0.7798303229	0.6166122865
23	0.7795566502	0.6129130798
24	0.7787356322	0.6093620934
25	0.7784619595	0.605843004
26	0.7792829776	0.6024365744
27	0.785440613	0.5990791677
28	0.7847564313	0.5956812742
29	0.7918719212	0.5916372763
30	0.7983032293	0.5886180184
31	0.7989874111	0.5855865883
32	0.8054187192	0.5825864838
33	0.8081554461	0.5795977234
34	0.8096606459	0.57675888
35	0.8085659551	0.5740048885
36	0.8096606459	0.5713218895
37	0.8096606459	0.5684773359
38	0.8095238095	0.5655099465
39	0.8100711549	0.562819118
40	0.8102079912	0.5600669759
41	0.8103448276	0.5575585598
42	0.8103448276	0.554595802
43	0.8106185003	0.552293902
44	0.810892173	0.549898349
45	0.8104816639	0.5475285034
46	0.8096606459	0.5451149066
47	0.8093869732	0.5431629781
48	0.8093869732	0.5409941924
49	0.8097974822	0.538987477
50	0.8099343186	0.5366758727
51	0.8097974822	0.5344177826
52	0.8045977011	0.5323085408
53	0.8048713738	0.530335876
54	0.8048713738	0.5285538662
55	0.8047345375	0.526794967
56	0.8047345375	0.5248488697
57	0.8047345375	0.523253673
58	0.8048713738	0.5215139783
59	0.8055555556	0.5199373293
60	0.8070607553	0.5183405374
61	0.8074712644	0.5165252498
62	0.8070607553	0.5153230813
63	0.8063765736	0.5135142119
64	0.8061029009	0.5123115503
65	0.8071975917	0.5108779216
66	0.8061029009	0.5091522853
67	0.8063765736	0.5076099751
68	0.8061029009	0.5061737268
69	0.8061029009	0.5045411724
70	0.8063765736	0.5030513121
71	0.8063765736	0.5015535671
72	0.80651341	0.5004830124
73	0.8126710454	0.4991497059
74	0.8132183908	0.4978984902
75	0.8133552271	0.4966789901
76	0.8134920635	0.4952807927
77	0.8136288998	0.4942101495
78	0.8136288998	0.4929944249
