iter	Passed	Remaining
0	7	4137
1	34	9085
2	48	8311
3	61	7924
4	65	6776
5	69	5953
6	74	5509
7	80	5143
8	86	4919
9	91	4661
10	96	4463
11	100	4263
12	106	4157
13	112	4093
14	119	4037
15	123	3905
16	130	3888
17	135	3797
18	141	3733
19	145	3659
20	150	3589
21	156	3564
22	162	3522
23	168	3496
24	175	3490
25	181	3467
26	186	3411
27	190	3369
28	198	3381
29	204	3350
30	209	3318
31	214	3280
32	222	3304
33	228	3275
34	235	3271
35	241	3258
36	246	3232
37	252	3220
38	261	3236
39	266	3209
40	273	3207
41	278	3177
42	282	3150
43	288	3139
44	300	3184
45	305	3166
46	310	3138
47	315	3115
48	320	3093
49	325	3073
50	329	3046
51	335	3032
52	340	3017
53	345	2995
54	353	3001
55	357	2976
56	361	2949
57	367	2939
58	373	2930
59	377	2907
60	381	2883
61	386	2866
62	390	2846
63	395	2826
64	399	2807
65	404	2794
66	410	2787
67	414	2767
68	420	2763
69	425	2748
70	429	2729
71	435	2719
72	440	2710
73	444	2693
74	449	2678
75	453	2662
76	459	2657
77	465	2647
78	469	2631
