iter	BalancedAccuracy	CrossEntropy
0	0.7573027573	0.6645249567
1	0.7577122577	0.6402513555
2	0.7800982801	0.6178563807
3	0.7802347802	0.5987647877
4	0.7802347802	0.5835916499
5	0.7802347802	0.5690449941
6	0.7802347802	0.5577811623
7	0.7802347802	0.5480173171
8	0.7802347802	0.5383470736
9	0.7802347802	0.5297721028
10	0.7802347802	0.5224422025
11	0.7802347802	0.5157164953
12	0.7802347802	0.5098505311
13	0.7802347802	0.5052156104
14	0.7802347802	0.5010112438
15	0.7802347802	0.4969235246
16	0.7800982801	0.4920204972
17	0.7800982801	0.4881055412
18	0.7854217854	0.4835886288
19	0.7895167895	0.4803166459
20	0.7896532897	0.4759060453
21	0.7900627901	0.4731034573
22	0.7900627901	0.4701612203
23	0.7901992902	0.4666778891
24	0.7901992902	0.464546047
25	0.7901992902	0.4620074742
26	0.7903357903	0.4592561006
27	0.7906087906	0.4578743212
28	0.7914277914	0.4558274299
29	0.7917007917	0.4522982164
30	0.7938847939	0.4473658829
31	0.7959322959	0.4442641034
32	0.8038493038	0.440243495
33	0.8054873055	0.4373246339
34	0.8078078078	0.4338926779
35	0.8094458094	0.4316341495
36	0.8091728092	0.4301640432
37	0.8123123123	0.4280366869
38	0.8132678133	0.4260389266
39	0.8147693148	0.4245362944
40	0.8158613159	0.4220031103
41	0.8184548185	0.4204076403
42	0.8187278187	0.4182469641
43	0.8192738193	0.4169521585
44	0.8217308217	0.4142247702
