iter	BalancedAccuracy	CrossEntropy
0	0.7724657534	0.6931328736
1	0.782739726	0.6931105672
2	0.7753424658	0.6930912505
3	0.7778082192	0.6930688557
4	0.782739726	0.6930495051
5	0.7775342466	0.6930309935
6	0.777260274	0.6930166454
7	0.7771232877	0.6929946509
8	0.7771232877	0.6929749715
9	0.7775342466	0.692954315
10	0.7771232877	0.6929350962
11	0.7760273973	0.6929170393
12	0.7769863014	0.6928961428
13	0.7765753425	0.6928808807
14	0.7767123288	0.6928619342
15	0.7768493151	0.6928420274
16	0.7761643836	0.6928276942
17	0.7760273973	0.6928066504
18	0.7761643836	0.692787264
19	0.7760273973	0.6927649796
20	0.775890411	0.6927466456
21	0.7767123288	0.692725814
22	0.7760273973	0.692705004
23	0.775890411	0.6926845748
24	0.775890411	0.6926662861
25	0.7760273973	0.6926455395
26	0.775890411	0.6926315437
27	0.7764383562	0.6926093424
28	0.7767123288	0.692592412
29	0.7769863014	0.6925701173
30	0.7775342466	0.692549327
31	0.7775342466	0.6925275505
32	0.7773972603	0.6925051195
33	0.7773972603	0.6924863274
34	0.7773972603	0.6924657633
35	0.7776712329	0.692443769
36	0.7778082192	0.6924235026
37	0.7778082192	0.6924020432
38	0.7775342466	0.6923800652
39	0.7779452055	0.6923588675
40	0.7778082192	0.6923394083
41	0.7779452055	0.6923188161
42	0.7779452055	0.6923002913
43	0.7779452055	0.6922800918
44	0.7779452055	0.6922599983
45	0.778630137	0.6922390508
46	0.7797260274	0.6922165903
47	0.7797260274	0.6921961339
48	0.7793150685	0.692177084
49	0.7791780822	0.6921558931
50	0.7793150685	0.6921364048
51	0.7802739726	0.6921162082
