iter	Passed	Remaining
0	10	9680
1	32	14360
2	39	11567
3	54	11871
4	68	12049
5	74	10893
6	78	9821
7	87	9579
8	102	9987
9	114	10007
10	119	9463
11	124	9012
12	137	9202
13	142	8863
14	151	8763
15	160	8680
16	165	8433
17	172	8288
18	179	8140
19	193	8339
20	197	8109
21	207	8101
22	217	8138
23	231	8280
24	238	8161
25	249	8215
26	252	8010
27	266	8129
28	271	7979
29	285	8097
30	293	8055
31	302	8045
32	315	8125
33	321	8008
34	332	8039
35	346	8139
36	355	8113
37	364	8087
38	374	8091
39	384	8098
40	393	8073
41	399	7997
42	405	7903
43	416	7940
44	428	7962
45	441	8020
46	452	8040
47	463	8056
48	468	7958
49	481	8007
50	492	8032
51	499	7968
