iter	BalancedAccuracy	CrossEntropy
0	0.7524630542	0.6928548303
1	0.7524630542	0.6925684444
2	0.7926929392	0.6921028403
3	0.7906403941	0.6917216712
4	0.7872194855	0.6914239749
5	0.789819376	0.6910688664
6	0.7896825397	0.6907839757
7	0.7874931582	0.6904000937
8	0.7891351943	0.6899674045
9	0.7872194855	0.6895930924
10	0.7865353038	0.6892851735
11	0.7865353038	0.6890128218
12	0.7891351943	0.6885665084
13	0.7891351943	0.6881156972
14	0.7967980296	0.6876370434
15	0.810892173	0.6871265206
16	0.8159551177	0.6866553714
17	0.8175971538	0.6861383584
18	0.8192391899	0.6856895524
19	0.820470717	0.6851763773
20	0.8229337712	0.6847168307
21	0.824438971	0.6842506218
22	0.8243021346	0.6837838997
23	0.8252599891	0.683323955
24	0.8263546798	0.6828109802
25	0.8270388615	0.682363204
26	0.8269020252	0.6818951896
27	0.8264915161	0.6814018867
28	0.8310071155	0.6809743407
29	0.8344280241	0.6804552679
30	0.8353858785	0.6800425227
31	0.8341543514	0.6795408931
32	0.8357963875	0.6790684214
33	0.8355227148	0.6786172621
34	0.8348385331	0.6781884734
35	0.8349753695	0.6776932681
36	0.8368910783	0.6772086538
37	0.83757526	0.6767124454
38	0.8373015873	0.6762310076
39	0.8400383142	0.6757704207
40	0.841954023	0.6753355647
41	0.8396278051	0.6749657358
42	0.8396278051	0.6745481668
43	0.8405856596	0.6741383351
44	0.8411330049	0.6736826833
45	0.8412698413	0.6732229282
46	0.8427750411	0.6727286164
47	0.8425013684	0.6723109235
48	0.8404488232	0.6718563791
49	0.8405856596	0.6714433945
50	0.8404488232	0.6709644474
51	0.8405856596	0.6705334219
52	0.8414066776	0.6700627019
53	0.8411330049	0.6696660733
54	0.8411330049	0.6692519383
55	0.841543514	0.6688130583
56	0.8414066776	0.6683811082
57	0.8416803503	0.6679072019
58	0.8411330049	0.6674908749
59	0.8416803503	0.6670164227
60	0.8416803503	0.666638429
61	0.8418171866	0.6662438097
62	0.8416803503	0.6657582409
63	0.8418171866	0.6652645084
64	0.8422276957	0.6647829084
65	0.8420908593	0.664312747
66	0.8420908593	0.6638938533
