iter	Passed	Remaining
0	15	10255
1	22	7410
2	47	10286
3	54	8954
4	62	8152
5	72	7920
6	80	7514
7	86	7012
8	102	7438
9	109	7094
10	114	6752
11	118	6393
12	134	6665
13	152	7010
14	170	7338
15	195	7844
16	211	7996
17	229	8169
18	250	8427
19	264	8448
20	282	8573
21	299	8669
22	312	8642
23	319	8462
24	337	8562
25	349	8502
26	365	8545
27	381	8602
28	400	8690
29	417	8751
30	427	8657
31	436	8552
32	451	8557
33	466	8578
34	479	8549
35	494	8564
36	511	8598
37	527	8621
38	542	8630
39	556	8617
40	563	8495
41	568	8350
42	577	8275
43	595	8321
44	613	8365
45	628	8380
46	649	8458
47	664	8458
48	681	8482
49	691	8423
50	703	8391
51	714	8334
52	726	8311
53	732	8211
54	750	8246
55	766	8248
56	780	8243
57	798	8271
58	807	8214
59	824	8230
60	832	8159
61	840	8092
62	857	8110
63	877	8158
64	895	8182
65	911	8192
66	928	8205
